Method,Representative_Gene,P_Value,Is_Ground_Truth,Cluster_Size,Cluster_ID,All_Genes_In_Cluster
CRT-logit,ULK4,5.733741645804138e-15,False,52,371,ULK4;RN7SKP58;TRAK1;CCK;LYZL4;VIPR1;SEC22C;SS18L2;NKTR;ZBTB47;RN7SL567P;KLHL40;HHATL;CCDC13;HIGD1A;ACKR2;CYP8B1;ZNF662;KRBOX1;FAM198A;GTDC2;SNRK;RN7SL517P;ANO10;ABHD5;TOPAZ1;TCAIM;LINC00694;ZNF445;ZNF852;ZKSCAN7;ZNF660;ZNF197;ZNF35;ZNF502;ZNF501;KIAA1143;KIF15;MIR564;TMEM42;TGM4;ZDHHC3;EXOSC7;CLEC3B;CDCP1;TMEM158;LARS2;LIMD1;SACM1L;RN7SL145P;SLC6A20;LZTFL1
CRT-logit,SNORD112,7.940019167456738e-15,False,7,926,SNORD112;SNORD112;SNORD112;SNORD112;SNORD112;SNORD112;SNORD112
CRT-logit,KCNU1,2.179935388851516e-14,True,34,342,UNC5D;RNA5SP264;KCNU1;ZNF703;ERLIN2;PROSC;GPR124;BRF2;RAB11FIP1;RN7SL709P;GOT1L1;ADRB3;EIF4EBP1;ASH2L;STAR;LSM1;BAG4;DDHD2;PPAPDC1B;WHSC1L1;LETM2;FGFR1;RPS20P22;C8orf86;TACC1;PLEKHA2;HTRA4;TM2D2;ADAM9;ADAM32;ADAM5;ADAM3A;ADAM18;ADAM2
CRT-logit,PLEKHG4B,3.1482910403384657e-14,True,24,780,PLEKHG4B;LRRC14B;CCDC127;SDHA;PDCD6;AHRR;EXOC3;SLC9A3;MIR4456;CEP72;TPPP;ZDHHC11B;ZDHHC11;BRD9;TRIP13;NKD2;SLC12A7;MIR4635;SLC6A19;SLC6A18;TERT;MIR4457;CLPTM1L;SLC6A3
CRT-logit,SNORA36,9.290022540315804e-14,False,1,188,SNORA36
CRT-logit,SNORD74,1.7497170516703454e-13,False,1,191,SNORD74
CRT-logit,snoU13,4.529259510605562e-13,False,1,211,snoU13
CRT-logit,ZNF479,1.2828675596674108e-12,False,4,449,ZNF479;MIR3147;ZNF716;ZNF733P
CRT-logit,AIM1,2.3371700206212587e-12,True,9,334,AIM1;RNA5SP211;RTN4IP1;QRSL1;MIR587;C6orf203;BEND3;PDSS2;SOBP
CRT-logit,STXBP5L,2.4493186181804766e-12,True,55,539,IGSF11;C3orf30;UPK1B;B4GALT4;ARHGAP31;TMEM39A;POGLUT1;TIMMDC1;CD80;ADPRH;PLA1A;POPDC2;COX17;MAATS1;NR1I2;GSK3B;RN7SL762P;RN7SL397P;GPR156;LRRC58;FSTL1;NDUFB4;HGD;RABL3;GTF2E1;STXBP5L;MIR5682;POLQ;ARGFX;FBXO40;HCLS1;RN7SL172P;GOLGB1;IQCB1;EAF2;SLC15A2;ILDR1;CD86;CASR;CSTA;CCDC58;FAM162A;WDR5B;KPNA1;PARP9;DTX3L;PARP15;PARP14;HSPBAP1;DIRC2;SEMA5B;PDIA5;SEC22A;ADCY5;PTPLB
