Method,Representative_Gene,P_Value,Is_Ground_Truth,Cluster_Size,Cluster_ID,All_Genes_In_Cluster
CRT-logit,ZNF280C,1.4241295434385074e-06,True,117,776,APLN;XPNPEP2;SASH3;ZDHHC9;UTP14A;BCORL1;ELF4;AIFM1;RAB33A;ZNF280C;SLC25A14;GPR119;RBMX2;ENOX2;ARHGAP36;RN7SL191P;IGSF1;OR13H1;RNA5SP514;MST4;FRMD7;RAP2C;MBNL3;HS6ST2;USP26;TFDP3;GPC4;GPC3;MIR363;MIR92A2;MIR19B2;MIR20B;MIR18B;MIR106A;CCDC160;PHF6;HPRT1;MIR450B;MIR450A1;MIR450A2;MIR542;MIR503HG;MIR503;LINC00629;PLAC1;FAM122B;FAM122C;MOSPD1;SMIM10;FAM127C;FAM127A;FAM127B;LINC00633;CXorf48;ZNF75D;ZNF449;LINC00086;LINC00087;RNA5SP515;DDX26B;CT45A1;CT45A3;CT45A4;CT45A5;CT45A6;CT45A2;SAGE1;MMGT1;SLC9A6;FHL1;MAP7D3;GPR112;BRS3;HTATSF1;VGLL1;MIR934;LINC00892;CD40LG;ARHGEF6;RBMX;SNORD61;SNORD61;GPR101;ZIC3;RN7SL325P;RN7SKP31;FGF13;MIR504;F9;MCF2;ATP11C;RNU6ATAC23P;MIR505;CXorf66;RN7SL727P;SOX3;LINC00632;CDR1;MIR320D2;SPANXB1;SPANXB2;LDOC1;SPANXC;SPANXA1;SPANXA2;SPANXD;MAGEC3;MAGEC1;MAGEC2;RNA5SP516;SPANXN4;RN7SKP81;RN7SKP149;SPANXN3;SLITRK4;SPANXN2;UBE2NL
CRT-logit,RNA5SP384,1.4570097007876358e-06,False,67,816,RNA5SP384;RPS29;RN7SL1;LRR1;RPL36AL;MGAT2;DNAAF2;POLE2;RNU6ATAC30P;KLHDC1;KLHDC2;NEMF;RN7SL3;RN7SL2;ARF6;C14orf182;RN7SKP193;METTL21D;SOS2;L2HGDH;MIR4504;ATP5S;CDKL1;MAP4K5;ATL1;SAV1;RN7SL452P;NIN;PYGL;ABHD12B;TRIM9;TMX1;LINC00519;LINC00640;FRMD6;RNA5SP385;GNG2;C14orf166;NID2;PTGDR;PTGER2;TXNDC16;GPR137C;ERO1L;PSMC6;STYX;GNPNAT1;FERMT2;DDHD1;MIR5580;BMP4;CDKN3;CNIH;GMFB;CGRRF1;SAMD4A;GCH1;RNU6ATAC9P;MIR4308;WDHD1;SOCS4;MAPK1IP1L;LGALS3;DLGAP5;FBXO34;ATG14;TBPL2
CRT-logit,U6,1.6752724119711951e-06,False,1,2,U6
CRT-logit,DMBT1,1.6937434807754391e-06,True,76,537,FAM45A;SFXN4;PRDX3;GRK5;RN7SL749P;MIR4681;RGS10;TIAL1;BAG3;INPP5F;RN7SL846P;MCMBP;SEC23IP;MIR4682;PPAPDC1A;C10orf85;WDR11;RN7SKP167;FGFR2;ATE1;NSMCE4A;TACC2;BTBD16;PLEKHA1;MIR3941;ARMS2;HTRA1;DMBT1;C10orf120;CUZD1;FAM24B;FAM24A;C10orf88;PSTK;IKZF5;ACADSB;HMX3;HMX2;BUB3;GPR26;CPXM2;CHST15;OAT;LHPP;FAM53B;METTL10;FAM175B;ZRANB1;CTBP2;MIR4296;TEX36;C10orf137;MMP21;UROS;MIR4484;BCCIP;DHX32;FANK1;ADAM12;RNA5SP328;LINC00601;C10orf90;DOCK1;FAM196A;NPS;FOXI2;CLRN3;PTPRE;MKI67;MGMT;EBF3;MIR4297;LINC00959;GLRX3;MIR378C;TCERG1L
CRT-logit,SNORD43,2.9456824872414697e-06,False,36,506,SNORD43;SYNGR1;TAB1;MGAT3;SMCR7L;ATF4;RPS19BP1;CACNA1I;ENTHD1;RN7SKP210;GRAP2;FAM83F;TNRC6B;ADSL;SGSM3;MKL1;MCHR1;SLC25A17;MIR4766;ST13;XPNPEP3;DNAJB7;RBX1;EP300;MIR1281;L3MBTL2;CHADL;RANGAP1;ZC3H7B;TEF;TOB2;ACO2;PHF5A;POLR3H;CSDC2;PMM1
CRT-logit,WWC3,3.0359429358295295e-06,True,22,519,PRKX;NLGN4X;MIR4770;VCX3A;HDHD1;STS;MIR4767;VCX;PNPLA4;MIR651;VCX2;VCX3B;KAL1;FAM9A;FAM9B;RNA5SP499;TBL1X;GPR143;SHROOM2;WWC3;CLCN4;MID1
CRT-logit,RMRPP1,3.1917129737614888e-06,False,1,152,RMRPP1
CRT-logit,snoU13,3.2315320775917026e-06,False,1,201,snoU13
CRT-logit,TEX15,3.3304798844154794e-06,True,50,366,SCARA3;MIR3622B;CCDC25;ESCO2;PBK;SCARA5;MIR4287;NUGGC;ELP3;PNOC;ZNF395;FBXO16;FZD3;MIR4288;RNA5SP259;EXTL3;INTS9;HMBOX1;RNA5SP260;KIF13B;DUSP4;LINC00589;FAM183CP;MIR3148;TMEM66;LEPROTL1;MBOAT4;DCTN6;TUBBP1;RBPMS;GTF2E2;SMIM18;GSR;UBXN8;PPP2CB;TEX15;PURG;WRN;RNA5SP261;NRG1;RNA5SP262;RNA5SP263;FUT10;TTI2;MAK16;SNORD13;RNF122;RN7SL621P;DUSP26;RN7SL457P
CRT-logit,ACAN,4.115732704835937e-06,True,108,862,LINC00052;NTRK3;MRPL46;MRPS11;DET1;MIR1179;AEN;ISG20;ACAN;HAPLN3;MFGE8;ABHD2;RLBP1;FANCI;POLG;LINC00925;RHCG;LINC00928;TICRR;KIF7;PLIN1;PEX11A;WDR93;MESP1;MESP2;ANPEP;AP3S2;C15orf38;MIR5094;MIR5009;ZNF710;MIR3174;IDH2;SEMA4B;RN7SL346P;CIB1;GDPGP1;TTLL13;NGRN;RN7SL736P;GABARAPL3;ZNF774;IQGAP1;CRTC3;BLM;RN7SL363P;FURIN;FES;MAN2A2;HDDC3;UNC45A;RCCD1;PRC1;VPS33B;SV2B;SLCO3A1;ST8SIA2;C15orf32;LINC00930;FAM174B;CHD2;MIR3175;RGMA;MCTP2;LINC00924;NR2F2;MIR1469;RN7SKP254;SPATA8;RN7SKP181;LINC00923;RN7SL677P;RNA5SP401;ARRDC4;FAM169B;IGF1R;MIR4714;PGPEP1L;SYNM;TTC23;LRRC28;MEF2A;LYSMD4;RN7SL484P;DNM1P46;ADAMTS17;RNA5SP402;SPATA41;CERS3;LINS;ASB7;ALDH1A3;LRRK1;CHSY1;VIMP;SNRPA1;PCSK6;TM2D3;TARSL2;DNM1P47;RN7SL209P;OR4F6;OR4F15;OR4F13P;OR4F4;FAM138E;WASH3P;DDX11L9
CRT-logit,SNORA22,4.393052941187944e-06,False,1,53,SNORA22
CRT-logit,SNORA64,4.917584723330047e-06,False,1,90,SNORA64
CRT-logit,SNORA30,5.011386623170643e-06,False,1,92,SNORA30
CRT-logit,PLCH1,5.149108664295941e-06,True,72,875,PLOD2;PLSCR4;PLSCR2;PLSCR1;PLSCR5;ZIC4;ZIC1;AGTR1;CPB1;CPA3;GYG1;HLTF;HPS3;CP;CPHL1P;TM4SF18;TM4SF1;TM4SF4;TAZ;WWTR1;COMMD2;ANKUB1;RNF13;PFN2;TSC22D2;SERP1;EIF2A;SELT;FAM194A;SIAH2;FAM188B2;CLRN1;MED12L;RNA5SP145;GPR171;P2RY14;GPR87;P2RY13;P2RY12;IGSF10;MIR5186;AADACL2;AADAC;SUCNR1;MBNL1;TMEM14E;P2RY1;RAP2B;RN7SL300P;C3orf79;ARHGEF26;DHX36;GPR149;MME;PLCH1;C3orf33;SLC33A1;GMPS;KCNAB1;SSR3;LINC00886;TIPARP;LEKR1;RN7SKP177;LINC00880;LINC00881;CCNL1;RNA5SP146;VEPH1;PTX3;C3orf55;RN7SKP46
CRT-logit,snoU13,5.699061262028806e-06,False,1,263,snoU13
CRT-logit,DNAH3,6.4625144903005885e-06,True,53,717,ERI2;DCUN1D3;LYRM1;DNAH3;TMEM159;ZP2;ANKS4B;CRYM;NPIPB3;METTL9;IGSF6;OTOA;RRN3P1;NPIPB4;UQCRC2;PDZD9;C16orf52;VWA3A;SDR42E2;EEF2K;POLR3E;CDR2;RRN3P3;SMG1P1;NPIPB5;HS3ST2;USP31;SCNN1G;SCNN1B;COG7;RN7SKP23;GGA2;EARS2;UBFD1;NDUFAB1;PALB2;DCTN5;PLK1;ERN2;CHP2;PRKCB;CACNG3;RBBP6;TNRC6A;SLC5A11;ARHGAP17;LCMT1;RN7SL557P;AQP8;ZKSCAN2;HS3ST4;MIR548W;RNA5SP405
CRT-logit,RN7SL232P,7.06406698885458e-06,False,1,159,RN7SL232P
CRT-logit,SSTR4,7.681874959682999e-06,True,47,729,PLK1S1;RNA5SP477;XRN2;RN7SKP140;PAX1;LINC00261;FOXA2;SSTR4;THBD;CD93;LINC00656;RNA5SP478;NXT1;GZF1;NAPB;RNA5SP479;CSTL1;CST11;CST8;CST13P;CST9L;CST9;CST3;CST4;CST1;CST2;CST5;GGTLC1;SYNDIG1;CST7;APMAP;ACSS1;VSX1;ENTPD6;PYGB;ABHD12;GINS1;NINL;RNU6ATAC17P;NANP;RN7SL594P;ZNF337;FAM182B;FAM182A;NCOR1P1;MIR663A;FRG1B
CRT-logit,FAM53A,7.819363888818774e-06,False,41,769,FAM53A;SLBP;TACC3;TMEM129;FGFR3;LETM1;WHSC1;SCARNA22;NELFA;MIR943;C4orf48;NAT8L;POLN;HAUS3;MXD4;MIR4800;ZFYVE28;RN7SL589P;RNF4;FAM193A;TNIP2;SH3BP2;ADD1;MFSD10;NOP14;GRK4;HTT;MSANTD1;RGS12;HGFAC;DOK7;LRPAP1;LINC00955;ADRA2C;FAM86EP;OTOP1;TMEM128;LYAR;ZBTB49;NSG1;STX18
CRT-logit,LRRC7,8.845040892695387e-06,True,34,359,DNAJC6;LEPROT;LEPR;RN7SL854P;PDE4B;SGIP1;MIR3117;TCTEX1D1;INSL5;WDR78;MIER1;SLC35D1;C1orf141;IL23R;RNU4ATAC4P;IL12RB2;SERBP1;RN7SL392P;GADD45A;GNG12;DIRAS3;WLS;MIR1262;RPE65;DEPDC1;LRRC7;RN7SL538P;PIN1P1;LRRC40;RN7SL242P;SRSF11;ANKRD13C;HHLA3;CTH
CRT-logit,WDR90,1.0434829621567439e-05,True,93,771,DDX11L10;WASH4P;WASIR2;POLR3K;SNRNP25;RHBDF1;MPG;NPRL3;HBZ;HBM;HBA2;HBA1;HBQ1;LUC7L;ITFG3;RGS11;ARHGDIG;PDIA2;AXIN1;MRPL28;TMEM8A;NME4;DECR2;RAB11FIP3;CAPN15;MIR5587;MIR3176;C16orf11;PIGQ;NHLRC4;RAB40C;WFIKKN1;C16orf13;FAM195A;WDR90;RHOT2;RHBDL1;STUB1;JMJD8;WDR24;FBXL16;METRN;FAM173A;CCDC78;HAGHL;NARFL;MSLN;MSLNL;MIR662;RPUSD1;CHTF18;GNG13;LMF1;SOX8;SSTR5;C1QTNF8;CACNA1H;TPSG1;TPSB2;TPSAB1;TPSD1;PRSS29P;UBE2I;BAIAP3;TSR3;GNPTG;UNKL;C16orf91;CCDC154;CLCN7;PTX4;TELO2;IFT140;TMEM204;CRAMP1L;HN1L;MAPK8IP3;MIR3177;NME3;MRPS34;EME2;SPSB3;NUBP2;IGFALS;HAGH;FAHD1;MEIOB;HS3ST6;MSRB1;RPL3L;NDUFB10;RPS2;SNORA10
CRT-logit,SARS2,1.1501847458923456e-05,False,29,368,SARS2;MRPS12;FBXO17;FBXO27;PAPL;PAK4;NCCRP1;SYCN;IFNL3;IFNL4;IFNL2;IFNL1;LRFN1;GMFG;SAMD4B;RN7SL566P;PAF1;MED29;ZFP36;MIR4530;PLEKHG2;RPS16;SUPT5H;TIMM50;DLL3;SELV;EID2B;EID2;LGALS13
CRT-logit,SNORA48,1.213156714469103e-05,False,11,591,SNORA48;SNORA48;SNORA48;SNORA48;SNORA48;SNORA48;SNORA48;SNORA48;SNORA48;SNORA48;SNORA48
CRT-logit,MTAP,1.3265707561542378e-05,False,3,379,MTAP;CDKN2A;CDKN2B
CRT-logit,BTBD11,1.575908885028019e-05,True,88,664,APPL2;C12orf75;NUAK1;CKAP4;TCP11L2;POLR3B;RFX4;RIC8B;C12orf23;MTERFD3;CRY1;BTBD11;RNA5SP371;PWP1;PRDM4;ASCL4;WSCD2;CMKLR1;FICD;SART3;ISCU;TMEM119;SELPLG;CORO1C;SSH1;MIR619;DAO;SVOP;USP30;RNA5SP372;ALKBH2;UNG;ACACB;FOXN4;MYO1H;KCTD10;UBE3B;MMAB;MVK;RN7SKP250;FAM222A;TRPV4;MIR4497;GLTP;RN7SL441P;TCHP;GIT2;ANKRD13A;C12orf76;IFT81;ATP2A2;RN7SL769P;ANAPC7;ARPC3;GPN3;FAM216A;VPS29;RAD9B;PPTC7;TCTN1;RN7SL387P;HVCN1;PPP1CC;CCDC63;MYL2;CUX2;RNA5SP373;FAM109A;SH2B3;ATXN2;BRAP;ACAD10;ALDH2;MAPKAPK5;ADAM1A;TMEM116;ERP29;NAA25;MIR3657;TRAFD1;HECTD4;RN7SKP71;RPL6;PTPN11;RPH3A;OAS1;OAS3;OAS2
CRT-logit,LAX1,1.9065591178790377e-05,False,10,569,LAX1;ZBED6;ZC3H11A;SNRPE;LINC00303;SOX13;ETNK2;REN;KISS1;GOLT1A
CRT-logit,SNORA76,1.9111125426249326e-05,False,1,103,SNORA76
CRT-logit,TP63,2.0083076182293598e-05,True,42,968,BCL6;LPP;MIR28;TPRG1;TP63;MIR944;LEPREL1;CLDN1;CLDN16;TMEM207;IL1RAP;RN7SKP296;GMNC;OSTN;UTS2B;CCDC50;PYDC2;RN7SKP222;FGF12;MB21D2;HRASLS;ATP13A5;ATP13A4;OPA1;RN7SL447P;HES1;RN7SL215P;LINC00887;CPN2;LRRC15;GP5;ATP13A3;TMEM44;LSG1;FAM43A;XXYLT1;MIR3137;RN7SL36P;ACAP2;PPP1R2;RNU6ATAC24P;RN7SL73P
CRT-logit,CAMTA1,2.0753759972215373e-05,False,7,341,CAMTA1;VAMP3;PER3;UTS2;TNFRSF9;PARK7;ERRFI1
CRT-logit,LINC00035,2.2728914491529638e-05,False,1,134,LINC00035
CRT-logit,SNORD23,2.413540191554984e-05,False,74,655,SNORD23;SEPW1;TPRX1;CRX;TPRX2P;SULT2A1;BSPH1;ELSPBP1;CABP5;PLA2G4C;LIG1;C19orf68;CARD8;ZNF114;CCDC114;EMP3;TMEM143;SYNGR4;KDELR1;GRIN2D;GRWD1;KCNJ14;CYTH2;LMTK3;SULT2B1;FAM83E;SPACA4;RPL18;SPHK2;DBP;CA11;SEC1P;NTN5;FUT2;MAMSTR;RASIP1;IZUMO1;FUT1;FGF21;BCAT2;HSD17B14;PLEKHA4;PPP1R15A;TULP2;NUCB1;DHDH;BAX;FTL;GYS1;RUVBL2;LHB;CGB2;CGB1;CGB;CGB5;CGB8;CGB7;NTF4;KCNA7;RN7SL708P;SNRNP70;LIN7B;C19orf73;PPFIA3;HRC;TRPM4;SLC6A16;MIR4324;CD37;TEAD2;DKKL1;CCDC155;PTH2;SLC17A7
CRT-logit,MAN2B2,2.4345392388501965e-05,True,131,962,MSX1;RN7SKP113;CYTL1;STK32B;RN7SKP275;C4orf6;EVC2;EVC;CRMP1;C4orf50;MIR378D1;JAKMIP1;WFS1;PPP2R2C;MAN2B2;MRFAP1;S100P;MRFAP1L1;BLOC1S4;KIAA0232;TBC1D14;RN7SKP292;CCDC96;TADA2B;GRPEL1;RN7SKP36;SORCS2;MIR4798;PSAPL1;MIR4274;AFAP1;ABLIM2;MIR95;SH3TC1;HTRA3;ACOX3;RNA5SP152;TRMT44;GPR78;CPZ;HMX1;FAM90A26;USP17L10;USP17L11;USP17L12;USP17L13;USP17L15;USP17L17;USP17L18;USP17L19;USP17L20;USP17L21;USP17L22;USP17L23;USP17L24;USP17L25;USP17L26;USP17L5;USP17L27;USP17L28;USP17L29;USP17L30;RNA5SP153;DEFB131;MIR548I2;SLC2A9;DRD5;RNA5SP154;WDR1;MIR3138;RNA5SP155;ZNF518B;CLNK;MIR572;HS3ST1;RNA5SP156;HSP90AB2P;RAB28;BOD1L1;MIR5091;LINC00504;CPEB2;RN7SKP170;C1QTNF7;CC2D2A;FBXL5;FAM200B;BST1;CD38;FGFBP1;FGFBP2;PROM1;TAPT1;ZEB2P1;LDB2;QDPR;CLRN2;LAP3;MED28;FAM184B;DCAF16;NCAPG;LCORL;RNA5SP157;SLIT2;PACRGL;KCNIP4;GPR125;GBA3;PPARGC1A;DHX15;MIR573;RN7SL16P;SOD3;CCDC149;LGI2;SEPSECS;PI4K2B;ZCCHC4;ANAPC4;SLC34A2;SEL1L3;SMIM20;RBPJ;CCKAR;TBC1D19;STIM2;RN7SL101P;PCDH7;ARAP2;DTHD1
CRT-logit,SNORD112,2.5635059293732946e-05,False,7,751,SNORD112;SNORD112;SNORD112;SNORD112;SNORD112;SNORD112;SNORD112
CRT-logit,LINC00643,3.2709611776734145e-05,False,4,998,LINC00643;LINC00651;LINC00693;LINC00696
CRT-logit,snoU13,3.348545375673216e-05,False,3,980,snoU13;snoU13;snoU13
CRT-logit,RN7SL816P,3.374240297851835e-05,False,1,176,RN7SL816P
CRT-logit,CR2,3.921452062585185e-05,True,55,969,CDK18;MFSD4;ELK4;SLC45A3;NUCKS1;SNORA72;SNORA72;SNORA72;SNORA72;SNORA72;SNORA72;SNORA72;SNORA72;RAB7L1;SLC41A1;PM20D1;SLC26A9;CTSE;C1orf186;AVPR1B;FAM72A;SRGAP2;IKBKE;C1orf147;RASSF5;EIF2D;DYRK3;MAPKAPK2;IL10;IL19;IL20;IL24;FAIM3;PIGR;FCAMR;C1orf116;PFKFB2;YOD1;C4BPB;C4BPA;CD55;CR2;CR1;CR1L;CD46;MIR29C;MIR29B2;CD34;PLXNA2;MIR205HG;CAMK1G;LAMB3;MIR4260;G0S2;HSD11B1
CRT-logit,WASH5P,4.105929931457826e-05,False,35,476,WASH5P;FAM138F;OR4F17;PPAP2C;MIER2;THEG;C2CD4C;SHC2;RNA5SP462;ODF3L2;MADCAM1;TPGS1;CDC34;GZMM;BSG;HCN2;POLRMT;FGF22;RNF126;FSTL3;PRSS57;PALM;MISP;PTBP1;MIR4745;LPPR3;MIR3187;AZU1;PRTN3;ELANE;CFD;MED16;R3HDM4;KISS1R;ARID3A
CRT-logit,SNORD112,4.2116559685831136e-05,False,1,84,SNORD112
CRT-logit,DSC2,4.518831157138508e-05,True,51,894,TAF4B;KCTD1;AQP4;CHST9;CDH2;DSC3;DSC2;DSC1;DSG1;DSG4;DSG3;DSG2;TTR;B4GALT6;RN7SKP44;LRRC37A7P;SLC25A52;TRAPPC8;RNF125;RNF138;GAREM;RNA5SP453;MEP1B;WBP11P1;KLHL14;CCDC178;ASXL3;NOL4;DTNA;MAPRE2;ZNF397;ZSCAN30;ZNF271;ZNF24;ZNF396;INO80C;GALNT1;MIR187;MIR3929;C18orf21;RPRD1A;SLC39A6;ELP2;MOCOS;FHOD3;TPGS2;KIAA1328;CELF4;MIR4318;RN7SKP182;LINC00669
CRT-logit,SNORA31,4.541340891348177e-05,False,3,725,SNORA31;SNORA31;SNORA31
CRT-logit,snoU13,4.936516324379982e-05,False,6,817,snoU13;snoU13;snoU13;snoU13;snoU13;snoU13
CRT-logit,CSF2RA,5.092502926452099e-05,True,29,293,PLCXD1;GTPBP6;LINC00685;PPP2R3B;SHOX;CRLF2;CSF2RA;MIR3690;RNA5SP498;IL3RA;SLC25A6;LINC00106;ASMTL;P2RY8;AKAP17A;ASMT;DHRSX;ZBED1;CD99P1;LINC00102;CD99;XG;GYG2;ARSD;ARSE;ARSH;ARSF;RN7SL578P;MXRA5
CRT-logit,SNORA11,5.393093505670265e-05,False,1,114,SNORA11
CRT-logit,U6,6.028869289624686e-05,False,2,626,U6;U6
CRT-logit,snoU13,6.0333647214375985e-05,False,1,261,snoU13
CRT-logit,FKSG52,7.778736316672383e-05,False,7,993,FKSG52;FKSG61;FKSG62;FKSG63;FKSG68;FLJ00104;FLJ00273
CRT-logit,KIAA1462,7.808109311869617e-05,True,39,920,MIR938;KIAA1462;MTPAP;RN7SL241P;MAP3K8;RN7SL63P;LYZL2;ZNF438;RNA5SP309;ZEB1;ARHGAP12;RN7SL825P;KIF5B;EPC1;C10orf68;CCDC7;ITGB1;RN7SL847P;NRP1;RN7SL398P;LINC00838;PARD3;CUL2;MIR3611;CREM;CCNY;GJD4;FZD8;MIR4683;NAMPTL;ANKRD30A;RN7SL314P;ZNF248;ZNF25;ZNF33A;ZNF37A;HSD17B7P2;SEPT7P9;CCNYL2
CRT-logit,SPTBN5,8.053597213616797e-05,True,52,706,MGA;MIR626;MAPKBP1;JMJD7;PLA2G4B;SPTBN5;RNA5SP393;MIR4310;EHD4;PLA2G4E;PLA2G4D;PLA2G4F;VPS39;MIR627;TMEM87A;GANC;CAPN3;ZNF106;SNAP23;LRRC57;HAUS2;STARD9;CDAN1;TTBK2;UBR1;TMEM62;CCNDBP1;EPB42;TGM5;TGM7;LCMT2;ADAL;ZSCAN29;TUBGCP4;RN7SL487P;TP53BP1;MAP1A;PPIP5K1;CKMT1B;STRC;CATSPER2;CKMT1A;CATSPER2P1;PDIA3;ELL3;SERF2;MIR1282;SERINC4;HYPK;MFAP1;WDR76;FRMD5
CRT-logit,COL19A1,8.782191712050408e-05,True,36,691,LMBRD1;COL19A1;COL9A1;FAM135A;C6orf57;SMAP1;B3GAT2;LINC00472;OGFRL1;MIR30C2;MIR30A;RIMS1;KCNQ5;MIR4282;KHDC1L;KHDC1;DPPA5;KHDC3L;OOEP;DDX43;MB21D1;MTO1;EEF1A1;SLC17A5;CD109;COL12A1;COX7A2;TMEM30A;FILIP1;MIR4463;SENP6;RN7SKP163;MYO6;RNA5SP209;IMPG1;HTR1B
CRT-logit,snoU13,0.00010899690460531771,False,1,229,snoU13
CRT-logit,KLK15,0.00011878010868079471,True,27,385,CLEC11A;GPR32;ACPT;C19orf48;SNORD88B;SNORD88A;SNORD88C;KLK1;KLK15;KLK3;KLK2;KLKP1;KLK4;KLK5;KLK6;KLK7;KLK8;KLK9;KLK10;KLK11;KLK12;KLK13;KLK14;CTU1;SIGLEC9;SIGLEC7;SIGLEC17P
CRT-logit,PLEKHA6,0.00012355308367102634,False,6,327,PLEKHA6;PPP1R15B;PIK3C2B;MDM4;RNA5SP74;LRRN2
CRT-logit,EGF,0.00012531573519971984,True,50,480,DKK2;PAPSS1;SGMS2;CYP2U1;HADH;LEF1;RPL34;OSTC;ETNPPL;COL25A1;SEC24B;RN7SL55P;MIR576;CCDC109B;CASP6;PLA2G12A;CFI;GAR1;RRH;LRIT3;EGF;ELOVL6;RN7SL275P;ENPEP;PITX2;MIR297;C4orf32;AP1AR;TIFA;ALPK1;NEUROG2;C4orf21;LARP7;MIR367;MIR302D;MIR302A;MIR302C;MIR302B;ANK2;CAMK2D;RN7SL184P;ARSJ;UGT8;MIR577;RN7SL808P;NDST4;TRAM1L1;NT5C3AP1;NDST3;SNHG8
CRT-logit,snoU13,0.0001311970156506897,False,1,203,snoU13
CRT-logit,snoU13,0.00013210344382014527,False,1,196,snoU13
CRT-logit,KIAA0020,0.0001345392929247778,True,38,906,SMARCA2;RN7SL592P;VLDLR;KCNV2;KIAA0020;CARM1P1;RFX3;GLIS3;SLC1A1;SPATA6L;PPAPDC2;CDC37L1;AK3;RCL1;JAK2;INSL6;INSL4;RLN2;RLN1;PLGRKT;CD274;PDCD1LG2;KIAA1432;ERMP1;KIAA2026;MLANA;MIR4665;RANBP6;IL33;TPD52L3;UHRF2;GLDC;RN7SL25P;RN7SL123P;KDM4C;C9orf123;PTPRD;RN7SL5P
CRT-logit,IFNW1,0.00014478654626543463,False,8,344,IFNW1;IFNA21;IFNA4;IFNA7;IFNA10;IFNA16;IFNA17;IFNA14
CRT-logit,SNORD112,0.00016419009344144646,False,1,89,SNORD112
CRT-logit,SNORA22,0.00016840299660372536,False,1,54,SNORA22
CRT-logit,U3,0.0001740676287599964,False,1,17,U3
CRT-logit,COL11A2,0.0001748185546230685,True,52,354,BRD2;HCG24;COL11A2;RXRB;RNY4P10;SLC39A7;HSD17B8;RING1;HCG25;VPS52;RPS18;B3GALT4;WDR46;PFDN6;RGL2;TAPBP;ZBTB22;DAXX;KIFC1;PHF1;CUTA;SYNGAP1;MIR5004;ZBTB9;RN7SL26P;BAK1;GGNBP1;LINC00336;ITPR3;MNF1;MIR3934;IP6K3;LEMD2;MLN;MIR1275;GRM4;HMGA1;C6orf1;NUDT3;RPS10;PACSIN1;SPDEF;C6orf106;RN7SL200P;SNRPC;UHRF1BP1;TAF11;ANKS1A;TCP11;SCUBE3;ZNF76;DEF6
CRT-logit,SCARNA11,0.00019221327898953595,False,1,75,SCARNA11
CRT-logit,NOTCH1,0.00021458851748901452,True,20,481,LHX3;QSOX2;DKFZP434A062;GPSM1;DNLZ;CARD9;SNAPC4;SDCCAG3;PMPCA;INPP5E;SEC16A;C9orf163;NOTCH1;MIR4673;MIR4674;EGFL7;MIR126;AGPAT2;FAM69B;SNHG7
CRT-logit,SNORA25,0.0002155489013561357,False,8,951,SNORA25;SNORA25;SNORA25;SNORA25;SNORA25;SNORA25;SNORA25;SNORA25
CRT-logit,C12orf80,0.00023150491850615424,False,8,825,C12orf80;C14orf183;C15ORF31;C15ORF37;C15orf37;C16orf97;C18orf56;C1orf132
CRT-logit,GVQW1,0.00025054165540768425,False,1,131,GVQW1
CRT-logit,MIR1273D,0.00025861961572287863,False,3,567,MIR1273D;MIR1273F;MIR1273G
CRT-logit,CNTN3,0.00027268144459677285,True,78,915,FHIT;PTPRG;C3orf14;FEZF2;CADPS;RN7SL863P;LINC00698;SYNPR;RNA5SP134;SNTN;C3orf49;THOC7;ATXN7;PSMD6;PRICKLE2;ADAMTS9;MAGI1;SLC25A26;RN7SL482P;LRIG1;KBTBD8;SUCLG2;FAM19A1;FAM19A4;RNA5SP135;EOGT;TMF1;MIR3136;UBA3;ARL6IP5;LMOD3;FRMD4B;MITF;RN7SL418P;FOXP1;MIR1284;EIF4E3;GPR27;PROK2;RN7SL271P;LINC00877;LINC00870;RYBP;RNA5SP136;SHQ1;GXYLT2;PPP4R2;EBLN2;PDZRN3;CNTN3;RN7SL294P;FAM86DP;MIR1324;FRG2C;LINC00960;ZNF717;MIR4273;ROBO2;RN7SL647P;RN7SKP61;ROBO1;RN7SL751P;MIR3923;GBE1;LINC00971;CADM2;MIR5688;RN7SKP284;VGLL3;MIR4795;CHMP2B;POU1F1;HTR1F;RNU6ATAC6P;CGGBP1;ZNF654;C3orf38;EPHA3
CRT-logit,ELAVL2,0.0002946578672781212,False,5,616,ELAVL2;IZUMO3;RMRPP5;RN7SKP120;TUSC1
CRT-logit,SNORD88,0.00030028801114753007,False,4,628,SNORD88;SPHAR;SSX6;SUZ12P
CRT-logit,snoU13,0.00030189476427260677,False,9,921,snoU13;snoU13;snoU13;snoU13;snoU13;snoU13;snoU13;snoU13;snoU13
CRT-logit,CEP104,0.00031081675874379864,True,14,401,ARHGEF16;MEGF6;MIR551A;TPRG1L;WRAP73;TP73;CCDC27;SMIM1;LRRC47;RN7SL574P;CEP104;DFFB;C1orf174;AJAP1
